pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
Kepler-138,c,"Kepler-138 c",Transit,0,3,13.7813,0.0001,-0.0001,0,9,,,,,2,,,,,3,,,,,1,0.0062,0.00602,-0.00352,0,4,Mass,0.107,0.006,-0.006,0,9,6.2,5.8,-3.4,0,3,1,1,0,19h21m31.57s,+43d17m34.7s,290.381547,1.7E-5,43.292973,1.7E-5,2,66.99,0.11,-0.11,0,4,12.925,,0,Kepler-band,12.472,,0,3841,49,-49,0,10,0.52,0.06,-0.06,0,9,0.44,0.02,-0.02,0,11,2,2015-06-17,Kepler
Kepler-138,d,"Kepler-138 d",Transit,0,3,23.0881,0.0009,-0.0008,0,7,,,,,2,,,,,3,,,,,1,0.00201,0.00212,-0.00122,0,3,Mass,0.108,0.007,-0.007,0,8,2.1,2.2,-1.2,0,3,1,1,0,19h21m31.57s,+43d17m34.7s,290.381547,1.7E-5,43.292973,1.7E-5,2,66.99,0.11,-0.11,0,4,12.925,,0,Kepler-band,12.472,,0,3841,49,-49,0,10,0.52,0.06,-0.06,0,9,0.44,0.02,-0.02,0,11,2,2015-06-17,Kepler
Kepler-139,b,"Kepler-139 b",Transit,0,2,15.771044,3.7E-5,-3.7E-5,0,4,0.127,,,0,1,,,,,0,,,,,0,,,,,0,,0.262,0.051,-0.051,0,3,,,,,0,0,1,0,18h49m34.07s,+43d53m21.7s,282.391957,1.7E-5,43.889351,1.7E-5,2,395.45,4.26,-4.26,0,3,12.701,,0,Kepler-band,12.677,,0,5594,100,-100,0,6,,,,,2,1.3,0.25,-0.25,0,6,1,2014-05-14,Kepler
Kepler-139,c,"Kepler-139 c",Transit,0,2,157.072878,0.00172,-0.00172,0,4,0.586,,,0,1,,,,,0,,,,,0,,,,,0,,0.302,0.062,-0.062,0,3,,,,,0,1,1,0,18h49m34.07s,+43d53m21.7s,282.391957,1.7E-5,43.889351,1.7E-5,2,395.45,4.26,-4.26,0,3,12.701,,0,Kepler-band,12.677,,0,5594,100,-100,0,6,,,,,2,1.3,0.25,-0.25,0,6,1,2014-05-14,Kepler
Kepler-140,b,"Kepler-140 b",Transit,0,2,3.25427,8.0E-6,-8.0E-6,0,4,0.045,,,0,1,,,,,0,,,,,0,,,,,0,,0.144,0.028,-0.028,0,3,,,,,0,0,1,0,19h09m28.67s,+46d46m05.6s,287.369468,1.7E-5,46.768213,1.7E-5,2,593.8,7.2,-7.2,0,3,12.996,,0,Kepler-band,12.941,,0,6077,136,-136,0,6,,,,,1,1.29,0.24,-0.24,0,6,1,2014-05-14,Kepler
Kepler-140,c,"Kepler-140 c",Transit,0,2,91.353282,0.00137,-0.00137,0,4,0.414,,,0,1,,,,,0,,,,,0,,,,,0,,0.161,0.031,-0.031,0,3,,,,,0,0,1,0,19h09m28.67s,+46d46m05.6s,287.369468,1.7E-5,46.768213,1.7E-5,2,593.8,7.2,-7.2,0,3,12.996,,0,Kepler-band,12.941,,0,6077,136,-136,0,6,,,,,1,1.29,0.24,-0.24,0,6,1,2014-05-14,Kepler
Kepler-141,b,"Kepler-141 b",Transit,0,2,3.107675,2.2E-5,-2.2E-5,0,3,0.039,,,0,1,,,,,0,,,,,0,,,,,0,,0.062,0.004,-0.004,0,3,,,,,0,0,1,0,19h51m53.02s,+47d43m54.0s,297.970897,1.7E-5,47.731678,1.7E-5,2,303.83,1.32,-1.32,0,3,13.448,,0,Kepler-band,13.421,,0,4910,100,-100,0,6,,,,,2,0.79,0.04,-0.04,0,6,1,2014-05-14,Kepler
Kepler-141,c,"Kepler-141 c",Transit,0,2,7.010606,2.0E-5,-2.0E-5,0,4,0.067,,,0,1,,,,,0,,,,,0,,,,,0,,0.126,0.008,-0.008,0,3,,,,,0,0,1,0,19h51m53.02s,+47d43m54.0s,297.970897,1.7E-5,47.731678,1.7E-5,2,303.83,1.32,-1.32,0,3,13.448,,0,Kepler-band,13.421,,0,4910,100,-100,0,6,,,,,2,0.79,0.04,-0.04,0,6,1,2014-05-14,Kepler
Kepler-142,b,"Kepler-142 b",Transit,0,3,2.024152,3.0E-6,-3.0E-6,0,4,0.032,,,0,1,,,,,0,,,,,0,,,,,0,,0.178,0.035,-0.035,0,3,,,,,0,0,1,0,19h40m28.54s,+48d28m52.6s,295.118899,1.7E-5,48.481281,1.7E-5,2,557.51,4.2,-4.2,0,3,13.203,,0,Kepler-band,13.197,,0,5790,100,-100,0,6,,,,,2,1.27,0.24,-0.24,0,6,1,2014-05-14,Kepler
Kepler-142,c,"Kepler-142 c",Transit,0,3,4.761702,5.0E-6,-5.0E-6,0,4,0.057,,,0,1,,,,,0,,,,,0,,,,,0,,0.255,0.049,-0.049,0,3,,,,,0,0,1,0,19h40m28.54s,+48d28m52.6s,295.118899,1.7E-5,48.481281,1.7E-5,2,557.51,4.2,-4.2,0,3,13.203,,0,Kepler-band,13.197,,0,5790,100,-100,0,6,,,,,2,1.27,0.24,-0.24,0,6,1,2014-05-14,Kepler
Kepler-142,d,"Kepler-142 d",Transit,0,3,41.809118,0.000562,-0.000562,0,4,0.242,,,0,1,,,,,0,,,,,0,,,,,0,,0.193,0.042,-0.042,0,3,,,,,0,1,1,0,19h40m28.54s,+48d28m52.6s,295.118899,1.7E-5,48.481281,1.7E-5,2,557.51,4.2,-4.2,0,3,13.203,,0,Kepler-band,13.197,,0,5790,100,-100,0,6,,,,,2,1.27,0.24,-0.24,0,6,1,2014-05-14,Kepler
Kepler-143,b,"Kepler-143 b",Transit,0,2,16.007583,9.3E-5,-9.3E-5,0,2,0.127,,,0,1,,,,,0,,,,,0,,,,,0,,0.215,0.054,-0.054,0,3,,,,,0,0,1,0,19h52m16.25s,+49d24m45.4s,298.067706,1.7E-5,49.412605,1.7E-5,2,828.71,11.66,-11.66,0,3,13.77,,0,Kepler-band,13.706,,0,5848,168,-168,0,6,,,,,1,1.36,0.32,-0.32,0,6,1,2014-05-14,Kepler
Kepler-143,c,"Kepler-143 c",Transit,0,2,27.082511,0.000169,-0.000169,0,3,0.181,,,0,1,,,,,0,,,,,0,,,,,0,,0.301,0.075,-0.075,0,3,,,,,0,0,1,0,19h52m16.25s,+49d24m45.4s,298.067706,1.7E-5,49.412605,1.7E-5,2,828.71,11.66,-11.66,0,3,13.77,,0,Kepler-band,13.706,,0,5848,168,-168,0,6,,,,,1,1.36,0.32,-0.32,0,6,1,2014-05-14,Kepler
Kepler-144,b,"Kepler-144 b",Transit,0,2,5.885273,2.0E-5,-2.0E-5,0,5,0.066,,,0,2,,,,,0,,,,,0,,,,,0,,0.119,0.023,-0.023,0,4,,,,,0,0,1,0,18h47m39.76s,+42d46m31.8s,281.915678,1.7E-5,42.775513,1.7E-5,2,389.22,3.28,-3.28,0,3,11.992,,0,Kepler-band,11.944,,0,6075,131,-131,0,7,,,,,3,1.24,0.24,-0.24,0,7,1,2014-05-14,Kepler
Kepler-144,c,"Kepler-144 c",Transit,0,2,10.104665,4.3E-5,-4.3E-5,0,5,0.094,,,0,2,,,,,0,,,,,0,,,,,0,,0.12,0.023,-0.023,0,4,,,,,0,0,1,0,18h47m39.76s,+42d46m31.8s,281.915678,1.7E-5,42.775513,1.7E-5,2,389.22,3.28,-3.28,0,3,11.992,,0,Kepler-band,11.944,,0,6075,131,-131,0,7,,,,,3,1.24,0.24,-0.24,0,7,1,2014-05-14,Kepler
Kepler-145,b,"Kepler-145 b",Transit,0,2,22.951,,,0,5,,,,,0,,,,,1,,,,,0,0.117,0.036,-0.036,0,1,Mass,0.236,0.007,-0.007,0,4,,,,,0,1,1,0,19h25m33.06s,+44d31m44.8s,291.387762,1.7E-5,44.529106,1.7E-5,2,576.15,8.47,-8.47,0,3,11.931,,0,Kepler-band,11.875,,0,6022,,,0,5,1.28,,,0,4,1.98,,,0,7,1,2014-05-14,Kepler
Kepler-145,c,"Kepler-145 c",Transit,0,2,42.882,,,0,5,,,,,0,,,,,1,,,,,0,0.25,0.052,-0.052,0,1,Mass,0.385,0.011,-0.011,0,4,,,,,0,1,1,0,19h25m33.06s,+44d31m44.8s,291.387762,1.7E-5,44.529106,1.7E-5,2,576.15,8.47,-8.47,0,3,11.931,,0,Kepler-band,11.875,,0,6022,,,0,5,1.28,,,0,4,1.98,,,0,7,1,2014-05-14,Kepler
